concept id	name	element file id
FMA22439	muscle of medial compartment of thigh	FJ1403M
FMA61775	physical anatomical entity	FJ1751
FMA55670	solid organ	FJ3205
FMA52747	zygomatic bone	FJ3392
FMA7574	rib	FJ3227
FMA67135	anatomical structure	FJ3562
FMA45950	head of gastrocnemius	FJ1394
FMA7776	fifth rib	FJ3232
FMA61775	physical anatomical entity	FJ1521M
FMA86188	segment of venous tree organ	FJ3027
FMA13397	serratus anterior	FJ1459M
FMA37481	third lumbrical of foot	FJ1387
FMA66464	systemic artery	FJ2079
FMA9413	subsegmental pulmonary vein	FJ3035
FMA67135	anatomical structure	FJ3615
FMA7474	long bone	FJ3230
FMA22470	muscle of thigh	FJ1436
FMA61775	physical anatomical entity	FJ3260
FMA67165	material anatomical entity	FJ1451
FMA22594	muscle of vertebral column	FJ1588
FMA7593	typical rib	FJ3344
FMA62955	anatomical entity	FJ3203
FMA5018	bone organ	FJ3259
FMA62955	anatomical entity	FJ3176
FMA66464	systemic artery	FJ1661
FMA61775	physical anatomical entity	FJ1280
FMA62955	anatomical entity	FJ3160
FMA61775	physical anatomical entity	FJ3172
FMA7232	cusp of cardiac valve	FJ2435
FMA31739	segment of bronchial tree	FJ2505
FMA62955	anatomical entity	FJ3072
FMA55665	nonparenchymatous organ	FJ1409M
FMA10446	intervertebral disk	FJ3224
FMA16035	intervertebral disk of third lumbar vertebra	FJ3215
FMA62955	anatomical entity	FJ1446M
FMA82472	cardinal organ part	FJ1520M
FMA66644	systemic vein	FJ2683
FMA13914	anterior branch of anterior interventricular branch of left coronary artery	FJ2641
FMA86140	organ segment	FJ2238
FMA55671	cavitated organ	FJ3177
FMA61775	physical anatomical entity	FJ3167
FMA9139	thoracic vertebra	FJ3166
FMA55673	organ with cavitated organ parts	FJ3162
FMA24479	fibula	FJ3366
FMA12520	axis	FJ3177
FMA34686	zone of pectoralis major	FJ1446M
FMA50723	vein	FJ2683
FMA55673	organ with cavitated organ parts	FJ3347
FMA38559	ulnar head of pronator teres	FJ1516
FMA9621	muscle of upper limb	FJ1483
FMA62955	anatomical entity	FJ1477
FMA5018	bone organ	FJ3175
FMA24476	tibia	FJ3387
FMA86140	organ segment	FJ2653
FMA8202	left sixth rib	FJ3233
FMA62955	anatomical entity	FJ3259
FMA82472	cardinal organ part	FJ1795
FMA67135	anatomical structure	FJ1663M
FMA61775	physical anatomical entity	FJ1441
FMA38930	right vastus lateralis	FJ1442
FMA13503	intervertebral disk of sixth thoracic vertebra	FJ3205
FMA5022	muscle organ	FJ1452
FMA55673	organ with cavitated organ parts	FJ3173
FMA7574	rib	FJ3336
FMA22799	branch of ulnar artery	FJ2223
FMA55673	organ with cavitated organ parts	FJ3169
FMA67619	organ region	FJ2232
FMA67165	material anatomical entity	FJ3224
FMA67165	material anatomical entity	FJ2567
FMA82472	cardinal organ part	FJ1792
FMA67498	organ	FJ1418
FMA61775	physical anatomical entity	FJ3155
FMA55652	anatomical set	FJ2120
FMA67619	organ region	FJ1477M
FMA10474	zone of muscle organ	FJ1554
FMA67135	anatomical structure	FJ2805
FMA55665	nonparenchymatous organ	FJ2740
FMA67135	anatomical structure	FJ3229
FMA62955	anatomical entity	FJ3274
FMA67135	anatomical structure	FJ1478
FMA10446	intervertebral disk	FJ3207
FMA67135	anatomical structure	FJ3558
FMA86140	organ segment	FJ2058
FMA55268	organ zone	FJ1512M
FMA61775	physical anatomical entity	FJ3112
FMA55672	organ with organ cavity	FJ1274
FMA53645	right lacrimal bone	FJ3371
FMA37695	medial head of right triceps brachii	FJ1480
FMA67619	organ region	FJ3656
FMA86140	organ segment	FJ3071
FMA10474	zone of muscle organ	FJ1468
FMA10474	zone of muscle organ	FJ1433M
FMA62955	anatomical entity	FJ1764
FMA9914	vertebra	FJ3169
FMA67619	organ region	FJ1834
FMA55671	cavitated organ	FJ3391
FMA64922	gluteal muscle	FJ1418
FMA67165	material anatomical entity	FJ1536M
FMA55673	organ with cavitated organ parts	FJ3273
FMA67165	material anatomical entity	FJ3259
FMA67498	organ	FJ3231
FMA67135	anatomical structure	FJ3265
FMA55671	cavitated organ	FJ3347
FMA61775	physical anatomical entity	FJ3386
FMA67498	organ	FJ1452M
FMA5018	bone organ	FJ3338
FMA5018	bone organ	FJ3265
FMA9915	cervical vertebra	FJ3161
FMA9915	cervical vertebra	FJ3164
FMA67135	anatomical structure	FJ3362
FMA67498	organ	FJ3387
FMA67498	organ	FJ3265
FMA22507	right descending genicular artery	FJ2137
FMA66328	branch of left coronary artery	FJ2641
FMA67165	material anatomical entity	FJ2541
FMA55268	organ zone	FJ1468
FMA10446	intervertebral disk	FJ3221
FMA66644	systemic vein	FJ3523
FMA67135	anatomical structure	FJ3223
FMA66644	systemic vein	FJ2663
FMA66464	systemic artery	FJ2668
FMA67165	material anatomical entity	FJ1446M
FMA55671	cavitated organ	FJ3393
FMA67498	organ	FJ3391
FMA55671	cavitated organ	FJ3366
FMA55665	nonparenchymatous organ	FJ2795
FMA67165	material anatomical entity	FJ1464
FMA61775	physical anatomical entity	FJ3177
FMA67135	anatomical structure	FJ3269
FMA7574	rib	FJ3233
FMA86140	organ segment	FJ2691
FMA5018	bone organ	FJ3289
FMA67165	material anatomical entity	FJ3515
FMA67165	material anatomical entity	FJ3393
FMA31739	segment of bronchial tree	FJ2506
FMA22459	right adductor magnus	FJ1403
FMA50723	vein	FJ3485
FMA55673	organ with cavitated organ parts	FJ3161
FMA61775	physical anatomical entity	FJ3208
FMA66644	systemic vein	FJ2702
FMA67619	organ region	FJ3076
FMA67498	organ	FJ3220
FMA67165	material anatomical entity	FJ3274
FMA7477	irregular bone	FJ3156
FMA55673	organ with cavitated organ parts	FJ3379
FMA86140	organ segment	FJ2649
FMA55676	segment of brain	FJ1739
FMA50720	artery	FJ2337
FMA61775	physical anatomical entity	FJ1452
FMA37348	muscle of free upper limb	FJ1487M
FMA23465	left radius	FJ3277
FMA67165	material anatomical entity	FJ1459M
FMA55673	organ with cavitated organ parts	FJ3235
FMA9915	cervical vertebra	FJ3167
FMA67165	material anatomical entity	FJ3365
FMA52624	branch of ophthalmic nerve	FJ1366
FMA67135	anatomical structure	FJ1521
FMA20278	muscle of anterior abdominal wall	FJ1452M
FMA67619	organ region	FJ1480M
FMA61775	physical anatomical entity	FJ1444
FMA86188	segment of venous tree organ	FJ2218
FMA22430	rectus femoris	FJ1433
FMA45950	head of gastrocnemius	FJ1397M
FMA62955	anatomical entity	FJ1266
FMA34676	zone of deltoid	FJ1468
FMA61775	physical anatomical entity	FJ2432
FMA67619	organ region	FJ2590
FMA8499	eleventh rib	FJ3331
FMA67135	anatomical structure	FJ1521M
FMA55673	organ with cavitated organ parts	FJ3200
FMA32557	descending part of trapezius	FJ1521M
FMA61775	physical anatomical entity	FJ3225
FMA55673	organ with cavitated organ parts	FJ3160
FMA55671	cavitated organ	FJ3228
FMA67498	organ	FJ3269
FMA55226	intrinsic muscle of larynx	FJ2784
FMA86140	organ segment	FJ1675
FMA67498	organ	FJ3213
FMA67498	organ	FJ3362
FMA37684	short head of right biceps brachii	FJ1512
FMA50720	artery	FJ2983
FMA61775	physical anatomical entity	FJ3226
FMA22439	muscle of medial compartment of thigh	FJ1403
FMA55665	nonparenchymatous organ	FJ3214
FMA5018	bone organ	FJ3379
FMA61775	physical anatomical entity	FJ3160
FMA7595	floating rib	FJ3227
FMA13500	intervertebral disk of third thoracic vertebra	FJ3224
FMA67135	anatomical structure	FJ3203
FMA32529	zone of trapezius	FJ1554M
FMA55268	organ zone	FJ1444
FMA55673	organ with cavitated organ parts	FJ3365
FMA55107	cartilage organ	FJ3223
FMA62955	anatomical entity	FJ3206
FMA5022	muscle organ	FJ1437M
FMA55665	nonparenchymatous organ	FJ1459M
FMA67498	organ	FJ1436
FMA62955	anatomical entity	FJ1520
FMA67619	organ region	FJ3409
FMA67619	organ region	FJ2642
FMA34686	zone of pectoralis major	FJ1464M
FMA67135	anatomical structure	FJ2214
FMA85453	head of muscle organ	FJ1395M
FMA82472	cardinal organ part	FJ1447
FMA67619	organ region	FJ1468M
FMA67498	organ	FJ3330
FMA5022	muscle organ	FJ1428M
FMA67135	anatomical structure	FJ1479
FMA9621	muscle of upper limb	FJ1487
FMA62955	anatomical entity	FJ1467M
FMA68708	superior branch of superior segmental artery	FJ2998
FMA62955	anatomical entity	FJ1487
FMA62955	anatomical entity	FJ3162
FMA72925	left fornix of forebrain	FJ1756
FMA67135	anatomical structure	FJ3340
FMA86140	organ segment	FJ2079
FMA70440	subdivision of left hepatic artery	FJ3077
FMA8755	segmental pulmonary artery	FJ2920
FMA55670	solid organ	FJ3221
FMA24511	right third metatarsal bone	FJ3355
FMA55671	cavitated organ	FJ3336
FMA67135	anatomical structure	FJ3207
FMA82472	cardinal organ part	FJ1513
FMA67498	organ	FJ3342
FMA62955	anatomical entity	FJ1513
FMA52745	nasal bone	FJ3272
FMA82472	cardinal organ part	FJ1395M
FMA5018	bone organ	FJ3375
FMA7596	atypical rib	FJ3229
FMA5022	muscle organ	FJ1418M
FMA13894	intervertebral disk of lumbar vertebra	FJ3215
FMA62955	anatomical entity	FJ3235
FMA55665	nonparenchymatous organ	FJ1459
FMA8256	left seventh rib	FJ3234
FMA10663	suprascapular artery	FJ2303
FMA61775	physical anatomical entity	FJ1487
FMA9921	lumbar vertebra	FJ3159
FMA67498	organ	FJ1487M
FMA10455	intervertebral disk of thoracic vertebra	FJ3223
FMA67498	organ	FJ1403
FMA50723	vein	FJ2963
FMA16587	left hip bone	FJ3288
FMA7474	long bone	FJ3349
FMA61775	physical anatomical entity	FJ1418
FMA67135	anatomical structure	FJ1393
FMA61775	physical anatomical entity	FJ2350
FMA67165	material anatomical entity	FJ3228
FMA22969	left median antebrachial vein	FJ2234
FMA61775	physical anatomical entity	FJ1658M
FMA7597	first rib	FJ3334
FMA45888	long head of right biceps femoris	FJ1395
FMA66464	systemic artery	FJ1722
FMA67135	anatomical structure	FJ1682M
FMA55671	cavitated organ	FJ3330
FMA55268	organ zone	FJ2574
FMA67135	anatomical structure	FJ3387
FMA62955	anatomical entity	FJ3156
FMA67619	organ region	FJ1394M
FMA61775	physical anatomical entity	FJ1442M
FMA86140	organ segment	FJ2359
FMA61775	physical anatomical entity	FJ3391
FMA67165	material anatomical entity	FJ3207
FMA67396	articular disk of symphysis	FJ3219
FMA7574	rib	FJ3229
FMA61775	physical anatomical entity	FJ2822
FMA86140	organ segment	FJ2355
FMA55670	solid organ	FJ3209
FMA67135	anatomical structure	FJ3366
FMA67498	organ	FJ1329
FMA67135	anatomical structure	FJ1444M
FMA70345	subdivision of subclavian artery	FJ2331
FMA67498	organ	FJ3200
FMA62955	anatomical entity	FJ1463M
FMA62955	anatomical entity	FJ3015
FMA62955	anatomical entity	FJ3366
FMA55671	cavitated organ	FJ3175
FMA62955	anatomical entity	FJ1916
FMA13074	third lumbar vertebra	FJ3162
FMA55671	cavitated organ	FJ3166
FMA67498	organ	FJ3207
FMA67135	anatomical structure	FJ2675
FMA66644	systemic vein	FJ3097
